2026-01-04 12:47:16 STR001 T01  TXN000001    CUST89581  CASH       NA              001988.85 001988.85 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000002    CUST62506  UPI        HDFC            000716.64 000716.64 INR FAILED       
2026-01-04 12:47:16 STR002 T01  TXN000003    CUST55832  CARD       HDFC            001379.19 001379.19 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000004    CUST61397  CARD       SBI             001812.28 001812.28 INR SUCCESS      
2026-01-04 12:47:16 STR001 T01  TXN000005    CUST68294  CARD       HDFC            001135.01 001135.01 INR SUCCESS      
2026-01-04 12:47:16 STR002 T02  TXN000006    CUST89241  UPI        HDFC            001423.33 001423.33 INR SUCCESS      
2026-01-04 12:47:16 STR002 T03  TXN000007    CUST18523  CASH       NA              000319.67 000319.67 INR FAILED       
2026-01-04 12:47:16 STR002 T01  TXN000008    CUST28521  UPI        NA              001024.26 001024.26 INR SUCCESS      
2026-01-04 12:47:16 STR001 T01  TXN000009    CUST24530  UPI        ICICI           000848.22 000848.22 INR SUCCESS      
2026-01-04 12:47:16 STR001 T02  TXN000010    CUST89502  UPI        HDFC            001708.27 001708.27 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000011    CUST50424  UPI        HDFC            000119.82 000119.82 INR SUCCESS      
2026-01-04 12:47:16 STR001 T01  TXN000012    CUST64749  CASH       NA              001726.08 001726.08 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000013    CUST37950  CASH       NA              001906.59 001906.59 INR FAILED       
2026-01-04 12:47:16 STR002 T02  TXN000014    CUST13973  CARD       ICICI           001987.32 001987.32 INR FAILED       
2026-01-04 12:47:16 STR001 T02  TXN000015    CUST87508  CASH       NA              000183.17 000183.17 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000016    CUST39084  CASH       NA              001395.61 001395.61 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000017    CUST14275  UPI        SBI             001049.30 001049.30 INR SUCCESS      
2026-01-04 12:47:16 STR001 T01  TXN000018    CUST98867  CARD       NA              000149.49 000149.49 INR FAILED       
2026-01-04 12:47:16 STR002 T03  TXN000019    CUST27801  UPI        ICICI           000275.80 000275.80 INR SUCCESS      
2026-01-04 12:47:16 STR002 T02  TXN000020    CUST93280  CASH       NA              001462.97 001462.97 INR SUCCESS      
2026-01-04 12:47:16 STR001 T01  TXN000021    CUST82923  CARD       NA              001516.29 001516.29 INR FAILED       
2026-01-04 12:47:16 STR002 T03  TXN000022    CUST93142  CARD       NA              000154.24 000154.24 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000023    CUST47959  CASH       NA              001637.47 001637.47 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000024    CUST66974  UPI        ICICI           000427.48 000427.48 INR SUCCESS      
2026-01-04 12:47:16 STR001 T03  TXN000025    CUST12622  UPI        NA              001196.08 001196.08 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000026    CUST21793  UPI        SBI             000197.53 000197.53 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000027    CUST96026  CARD       NA              001909.06 001909.06 INR FAILED       
2026-01-04 12:47:16 STR002 T02  TXN000028    CUST98205  CASH       NA              000603.35 000603.35 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000029    CUST91656  CASH       NA              001251.09 001251.09 INR FAILED       
2026-01-04 12:47:16 STR001 T01  TXN000030    CUST80765  CARD       NA              001695.47 001695.47 INR SUCCESS      
2026-01-04 12:47:16 STR001 T02  TXN000031    CUST84680  CARD       ICICI           000254.67 000254.67 INR FAILED       
2026-01-04 12:47:16 STR002 T01  TXN000032    CUST39135  CARD       NA              001208.24 001208.24 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000033    CUST26969  CARD       ICICI           000750.22 000750.22 INR FAILED       
2026-01-04 12:47:16 STR001 T02  TXN000034    CUST56520  CASH       NA              001274.77 001274.77 INR FAILED       
2026-01-04 12:47:16 STR001 T02  TXN000035    CUST56468  CARD       NA              000880.78 000880.78 INR FAILED       
2026-01-04 12:47:16 STR002 T02  TXN000036    CUST58780  UPI        NA              001766.37 001766.37 INR FAILED       
2026-01-04 12:47:16 STR002 T01  TXN000037    CUST88933  CASH       NA              000914.26 000914.26 INR SUCCESS      
2026-01-04 12:47:16 STR002 T01  TXN000038    CUST14794  UPI        NA              001226.81 001226.81 INR SUCCESS      
2026-01-04 12:47:16 STR002 T03  TXN000039    CUST94657  CARD       SBI             001078.05 001078.05 INR SUCCESS      
2026-01-04 12:47:16 STR001 T02  TXN000040    CUST15489  UPI        NA              001638.69 001638.69 INR FAILED       
2026-01-04 12:47:16 STR001 T02  TXN000041    CUST77828  CARD       NA              001556.73 001556.73 INR FAILED       
2026-01-04 12:47:16 STR002 T01  TXN000042    CUST43733  CARD       SBI             001385.59 001385.59 INR SUCCESS      
2026-01-04 12:47:16 STR002 T02  TXN000043    CUST43233  UPI        HDFC            001618.26 001618.26 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000044    CUST34249  UPI        ICICI           000568.10 000568.10 INR SUCCESS      
2026-01-04 12:47:16 STR001 T03  TXN000045    CUST62346  UPI        HDFC            000083.44 000083.44 INR SUCCESS      
2026-01-04 12:47:16 STR002 T03  TXN000046    CUST61751  UPI        HDFC            000805.51 000805.51 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000047    CUST49991  UPI        NA              001046.37 001046.37 INR FAILED       
2026-01-04 12:47:16 STR002 T03  TXN000048    CUST63755  CARD       ICICI           001675.43 001675.43 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000049    CUST42112  CARD       ICICI           000378.89 000378.89 INR FAILED       
2026-01-04 12:47:16 STR001 T03  TXN000050    CUST43458  UPI        SBI             001485.32 001485.32 INR SUCCESS      
